package,class,line,full_coverage,partial_coverage,no_coverage
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,50,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,51,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,52,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,55,10,0,225
org.mockito.internal.configuration.plugins,DefaultPluginSwitch,5,235,0,0
org.mockito.internal.configuration.plugins,DefaultPluginSwitch,7,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,13,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,15,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,17,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,18,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,22,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,24,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,26,0,0,235
org.mockito.internal.configuration.plugins,PluginFileReader,9,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,14,235,0,0
org.mockito.internal.configuration.plugins,PluginFinder,15,235,0,0
org.mockito.internal.configuration.plugins,PluginFinder,16,235,0,0
org.mockito.internal.configuration.plugins,PluginFinder,20,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,22,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,23,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,32,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,33,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,34,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,36,0,0,235
org.mockito.internal.configuration.plugins,PluginFinder,39,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,16,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,17,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,18,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,24,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,26,0,0,235
org.mockito.internal.configuration.plugins,PluginLoader,33,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,34,0,0,235
org.mockito.internal.configuration.plugins,PluginLoader,35,0,0,235
org.mockito.internal.configuration.plugins,PluginLoader,46,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,48,0,0,235
org.mockito.internal.configuration.plugins,PluginLoader,52,235,0,0
org.mockito.internal.configuration.plugins,PluginLoader,53,0,0,235
